2013-01-31;Internet Feb. 4 through Mar. 3;TV/Phone/Internet;29.99;USD;-9.99;19.99;-10.0
2013-02-01;Rent February '13;Rent;960.0;USD;-260.0;610.0;-350.0
2013-02-02;Pizza;General;20.45;USD;-10.22;10.22;0
2013-02-06;Jan Gas Bill;Heat/gas;73.51;USD;-24.51;-24.5;49.01
2013-02-07;Rice;Groceries;3.18;USD;-1.06;-1.06;2.12
2013-02-15;Put.io (Feb 15th);General;4.9;USD;0;2.45;-2.45
2013-02-17;Dominos Pizza;Food and drink;16.0;USD;0;-8.0;8.0
2013-02-20;AA Battery ;General;2.0;USD;-2.0;0;2.0
2013-02-23;Walmart stuff;General;24.52;USD;0;24.52;-24.52
2013-02-23;Pizza;General;15.32;USD;-7.18;7.18;0.0
2013-02-24;Walmart ;Groceries;113.61;USD;75.74;-37.87;-37.87
2013-02-27;Garlic Bread;General;1.64;USD;1.64;-1.64;0
2013-02-27;Water purifier;Water;15.59;USD;-5.19;10.39;-5.2
2013-02-28;Feb Electricity Bill;Electricity;50.98;USD;-16.99;-16.99;33.98
2013-03-03;Internet (March 4 through April 3rd);TV/Phone/Internet;45.46;USD;-15.16;30.31;-15.15
2013-03-05;March Rent;Rent;960.0;USD;-260.0;-350.0;610.0
2013-03-07;Feb Gas Bill;Heat/gas;85.72;USD;-28.58;-28.57;57.15
2013-03-10;zipcar to tuktuk;Taxi;33.0;USD;-11.0;22.0;-11.0
2013-03-15;put.io (March 15);General;4.9;USD;0;2.45;-2.45
2013-03-16;Alcohol Extra;General;7.6;USD;-3.8;-3.8;7.6
2013-03-16;Gokul Chat;General;35.24;USD;-26.43;0.0;26.43
2013-03-16;MTR+Toast+Butter Mil+ Small Roti;General;14.45;USD;0;-7.22;7.22
2013-03-16;Curd;General;3.0;USD;-1.0;-1.0;2.0
2013-03-18;patel bros. groceries;Groceries;47.66;USD;-15.88;31.77;-15.89
2013-03-18;thepla;General;5.0;USD;0;2.5;-2.5
2013-03-18;flour;General;2.5;USD;0;2.5;-2.5
2013-03-18;ajax  garlic;General;2.66;USD;-0.88;1.77;-0.89
2013-03-22;Pizza;Dining out;12.79;USD;0;6.4;-6.4
2013-03-27;Printer Cartridge;General;10.5;USD;0;-5.25;5.25
2013-03-27;Wingnuts;General;10.85;USD;0;-5.43;5.43
2013-03-29;Electricity Bill;Other;46.63;USD;-15.54;-15.55;31.09
2013-03-29;Internet April 4 -  May 3;TV/Phone/Internet;41.12;USD;-13.71;27.41;-13.7
2013-04-03;Wingnuts;General;13.0;USD;0;-6.5;6.5
2013-04-05;Rent April 2013;Rent;960.0;USD;-260.0;-350.0;610.0
2013-04-05;Gas Bill March;Heat/gas;72.43;USD;-24.14;-24.15;48.29
2013-04-06;Sim card;General;21.6;USD;0;10.8;-10.8
2013-04-08;Dinner - Green Sprout;Dining out;17.41;USD;0;8.7;-8.7
2013-04-10;Publix - Napkin+Sugar;General;14.7;USD;-4.9;-4.9;9.8
2013-04-10;Walmart Commons;General;20.68;USD;-6.89;-6.9;13.79
2013-04-10;Milk + Cheese (Shared);General;8.5;USD;0;-4.25;4.25
2013-04-10;Juice  Pringles  Coke & Coffee;General;15.5;USD;0;-15.5;15.5
